"group","reference","band","band_label","from_class","category_label","n_cells","area_ha","pct_of_band_class"
"kotl","water_core",8,">500","Built Area","break_sustained",504,5.04,1.51
"kotl","water_core",8,">500","Built Area","stable",27382,273.82,82.07
"kotl","water_core",8,">500","Built Area","stable_flicker",2624,26.24,7.87
"kotl","water_core",8,">500","Built Area","unsettled",1616,16.16,4.84
"kotl","water_core",8,">500","Crops","break_endpoint",4791,47.91,1.46
"kotl","water_core",8,">500","Crops","break_sustained",2115,21.15,0.64
"kotl","water_core",8,">500","Crops","stable",299063,2990.63,91.1
"kotl","water_core",8,">500","Crops","stable_flicker",15181,151.81,4.62
"kotl","water_core",8,">500","Crops","unsettled",7117,71.17,2.17
"kotl","water_core",8,">500","Flooded Vegetation","break_endpoint",5857,58.57,7.01
"kotl","water_core",8,">500","Flooded Vegetation","break_sustained",5590,55.9,6.69
"kotl","water_core",8,">500","Flooded Vegetation","stable",39040,390.4,46.72
"kotl","water_core",8,">500","Flooded Vegetation","stable_flicker",17307,173.07,20.71
"kotl","water_core",8,">500","Flooded Vegetation","unsettled",15764,157.64,18.87
"kotl","water_core",8,">500","Rangeland","break_endpoint",19154,191.54,13
"kotl","water_core",8,">500","Rangeland","break_sustained",7907,79.07,5.36
"kotl","water_core",8,">500","Rangeland","stable",80206,802.06,54.42
"kotl","water_core",8,">500","Rangeland","stable_flicker",22941,229.41,15.57
"kotl","water_core",8,">500","Rangeland","unsettled",17180,171.8,11.66
"kotl","water_core",8,">500","Trees","break_endpoint",7159,71.59,1.2
"kotl","water_core",8,">500","Trees","break_sustained",18723,187.23,3.13
"kotl","water_core",8,">500","Trees","stable",552158,5521.58,92.41
"kotl","water_core",8,">500","Trees","stable_flicker",12716,127.16,2.13
"kotl","water_core",8,">500","Trees","unsettled",6763,67.63,1.13
"kotl","water_core",8,">500","Water","break_endpoint",95,0.95,6.48
"kotl","water_core",8,">500","Water","break_sustained",173,1.73,11.8
"kotl","water_core",8,">500","Water","stable_flicker",208,2.08,14.19
"kotl","water_core",8,">500","Water","unsettled",990,9.9,67.53
