"group","reference","band","band_label","dist_min_m","dist_max_m","category_label","n_cells","area_ha","n_scanned_in_band","pct_of_scanned_in_band"
"necr","water_2017",7,"200-500",200,500,"unsettled",22304,223.04,333813,6.68
"necr","water_2017",8,">500",500,Inf,"break_endpoint",119749,1197.49,2295240,5.22
"necr","water_2017",8,">500",500,Inf,"break_sustained",132064,1320.64,2295240,5.75
"necr","water_2017",8,">500",500,Inf,"stable",1641089,16410.89,2295240,71.5
"necr","water_2017",8,">500",500,Inf,"stable_flicker",255375,2553.75,2295240,11.13
"necr","water_2017",8,">500",500,Inf,"unsettled",146963,1469.63,2295240,6.4
"necr","edge_nonwater",1,"core",0,0,"break_endpoint",40914,409.14,273868,14.94
"necr","edge_nonwater",1,"core",0,0,"break_sustained",24358,243.58,273868,8.89
"necr","edge_nonwater",1,"core",0,0,"stable",69785,697.85,273868,25.48
"necr","edge_nonwater",1,"core",0,0,"stable_flicker",77126,771.26,273868,28.16
"necr","edge_nonwater",1,"core",0,0,"unsettled",61685,616.85,273868,22.52
"necr","edge_nonwater",2,"0-10",0,10,"break_endpoint",18592,185.92,175521,10.59
"necr","edge_nonwater",2,"0-10",0,10,"break_sustained",14243,142.43,175521,8.11
"necr","edge_nonwater",2,"0-10",0,10,"stable",71276,712.76,175521,40.61
"necr","edge_nonwater",2,"0-10",0,10,"stable_flicker",42034,420.34,175521,23.95
"necr","edge_nonwater",2,"0-10",0,10,"unsettled",29376,293.76,175521,16.74
"necr","edge_nonwater",3,"10-30",10,30,"break_endpoint",24863,248.63,319695,7.78
"necr","edge_nonwater",3,"10-30",10,30,"break_sustained",22994,229.94,319695,7.19
"necr","edge_nonwater",3,"10-30",10,30,"stable",172311,1723.11,319695,53.9
"necr","edge_nonwater",3,"10-30",10,30,"stable_flicker",61501,615.01,319695,19.24
"necr","edge_nonwater",3,"10-30",10,30,"unsettled",38026,380.26,319695,11.89
"necr","edge_nonwater",4,"30-50",30,50,"break_endpoint",16158,161.58,287872,5.61
"necr","edge_nonwater",4,"30-50",30,50,"break_sustained",18218,182.18,287872,6.33
"necr","edge_nonwater",4,"30-50",30,50,"stable",188042,1880.42,287872,65.32
"necr","edge_nonwater",4,"30-50",30,50,"stable_flicker",42214,422.14,287872,14.66
"necr","edge_nonwater",4,"30-50",30,50,"unsettled",23240,232.4,287872,8.07
"necr","edge_nonwater",5,"50-100",50,100,"break_endpoint",23029,230.29,533239,4.32
"necr","edge_nonwater",5,"50-100",50,100,"break_sustained",29665,296.65,533239,5.56
"necr","edge_nonwater",5,"50-100",50,100,"stable",395260,3952.6,533239,74.12
"necr","edge_nonwater",5,"50-100",50,100,"stable_flicker",56550,565.5,533239,10.61
"necr","edge_nonwater",5,"50-100",50,100,"unsettled",28735,287.35,533239,5.39
"necr","edge_nonwater",6,"100-200",100,200,"break_endpoint",21787,217.87,678661,3.21
"necr","edge_nonwater",6,"100-200",100,200,"break_sustained",28403,284.03,678661,4.19
"necr","edge_nonwater",6,"100-200",100,200,"stable",556420,5564.2,678661,81.99
"necr","edge_nonwater",6,"100-200",100,200,"stable_flicker",49458,494.58,678661,7.29
"necr","edge_nonwater",6,"100-200",100,200,"unsettled",22593,225.93,678661,3.33
"necr","edge_nonwater",7,"200-500",200,500,"break_endpoint",16214,162.14,930264,1.74
"necr","edge_nonwater",7,"200-500",200,500,"break_sustained",25029,250.29,930264,2.69
"necr","edge_nonwater",7,"200-500",200,500,"stable",833569,8335.69,930264,89.61
"necr","edge_nonwater",7,"200-500",200,500,"stable_flicker",38415,384.15,930264,4.13
"necr","edge_nonwater",7,"200-500",200,500,"unsettled",17037,170.37,930264,1.83
"necr","edge_nonwater",8,">500",500,Inf,"break_endpoint",8339,83.39,984694,0.85
"necr","edge_nonwater",8,">500",500,Inf,"break_sustained",16073,160.73,984694,1.63
"necr","edge_nonwater",8,">500",500,Inf,"stable",936375,9363.75,984694,95.09
"necr","edge_nonwater",8,">500",500,Inf,"stable_flicker",15533,155.33,984694,1.58
