"x","y","valid_ha","stable_ha","sustained_ha","endpoint_ha","unsettled_ha","stable_flicker_ha"
630322.648224166,6111890.06916606,11.54,11.54,0,0,0,0
631322.648224166,6111890.06916606,19.66,19.66,0,0,0,0
632322.648224166,6111890.06916606,10.62,10.44,0,0,0.04,0.14
633322.648224166,6111890.06916606,5.89,5.89,0,0,0,0
634322.648224166,6111890.06916606,15.44,15.44,0,0,0,0
635322.648224166,6111890.06916606,11.07,11.07,0,0,0,0
636322.648224166,6111890.06916606,1.23,1.23,0,0,0,0
637322.648224166,6111890.06916606,3.95,3.62,0,0.07,0.02,0.24
638322.648224166,6111890.06916606,80.13,76.15,0.67,0.24,1.15,1.92
639322.648224166,6111890.06916606,25.86,25.41,0.23,0,0.01,0.21
640322.648224166,6111890.06916606,12.92,12.92,0,0,0,0
602322.648224166,6110890.06916606,33.47,13.39,0.03,17.19,1.22,1.64
603322.648224166,6110890.06916606,10.81,8.51,0.02,1.94,0.03,0.31
604322.648224166,6110890.06916606,19.11,18.53,0.05,0.08,0.11,0.34
605322.648224166,6110890.06916606,3.6,3.6,0,0,0,0
606322.648224166,6110890.06916606,6.48,6.48,0,0,0,0
615322.648224166,6110890.06916606,0.48,0.48,0,0,0,0
617322.648224166,6110890.06916606,7.64,7.64,0,0,0,0
618322.648224166,6110890.06916606,0.45,0.45,0,0,0,0
