"group","from_class","to_class","changed","category","n_cells","area_ha","pct_of_pair"
"kotl","Flooded Vegetation","Rangeland",TRUE,"break_sustained",21230,212.3,32.9320882325567
"kotl","Flooded Vegetation","Rangeland",TRUE,"flicker",28058,280.58,43.5237179288307
"kotl","Flooded Vegetation","Trees",TRUE,"break_endpoint",327,3.27,8.35889570552147
"kotl","Flooded Vegetation","Trees",TRUE,"break_sustained",614,6.14,15.6952965235174
"kotl","Flooded Vegetation","Trees",TRUE,"flicker",2971,29.71,75.9458077709611
"kotl","Flooded Vegetation","Water",TRUE,"break_endpoint",3131,31.31,34.0474119182253
"kotl","Flooded Vegetation","Water",TRUE,"break_sustained",768,7.68,8.35145715528491
"kotl","Flooded Vegetation","Water",TRUE,"flicker",5297,52.97,57.6011309264898
"kotl","Rangeland","Bare Ground",TRUE,"flicker",145,1.45,100
"kotl","Rangeland","Built Area",TRUE,"break_endpoint",8630,86.3,45.6131078224102
"kotl","Rangeland","Built Area",TRUE,"break_sustained",2660,26.6,14.0591966173362
"kotl","Rangeland","Built Area",TRUE,"flicker",7630,76.3,40.3276955602537
"kotl","Rangeland","Crops",TRUE,"break_endpoint",12565,125.65,44.6200284090909
"kotl","Rangeland","Crops",TRUE,"break_sustained",4401,44.01,15.6285511363636
"kotl","Rangeland","Crops",TRUE,"flicker",11194,111.94,39.7514204545455
"kotl","Rangeland","Flooded Vegetation",TRUE,"break_endpoint",949,9.49,12.5462718138551
"kotl","Rangeland","Flooded Vegetation",TRUE,"break_sustained",397,3.97,5.24854574299313
"kotl","Rangeland","Flooded Vegetation",TRUE,"flicker",6218,62.18,82.2051824431518
"kotl","Rangeland","Rangeland",FALSE,"flicker",60966,609.66,22.9304106456442
"kotl","Rangeland","Rangeland",FALSE,"stable",204908,2049.08,77.0695893543558
"kotl","Rangeland","Snow/Ice",TRUE,"break_endpoint",16,0.16,100
"kotl","Rangeland","Trees",TRUE,"break_endpoint",10793,107.93,34.0505410606682
"kotl","Rangeland","Trees",TRUE,"break_sustained",9487,94.87,29.9302773133104
"kotl","Rangeland","Trees",TRUE,"flicker",11417,114.17,36.0191816260214
"kotl","Rangeland","Water",TRUE,"break_endpoint",1824,18.24,27.0824053452116
"kotl","Rangeland","Water",TRUE,"break_sustained",729,7.29,10.8240534521158
"kotl","Rangeland","Water",TRUE,"flicker",4182,41.82,62.0935412026726
"kotl","Snow/Ice","Bare Ground",TRUE,"break_endpoint",3,0.03,50
"kotl","Snow/Ice","Bare Ground",TRUE,"break_sustained",2,0.02,33.3333333333333
"kotl","Snow/Ice","Bare Ground",TRUE,"flicker",1,0.01,16.6666666666667
"kotl","Snow/Ice","Snow/Ice",FALSE,"flicker",2,0.02,25
"kotl","Snow/Ice","Snow/Ice",FALSE,"stable",6,0.06,75
"kotl","Snow/Ice","Water",TRUE,"flicker",1,0.01,100
"kotl","Trees","Bare Ground",TRUE,"flicker",163,1.63,100
"kotl","Trees","Built Area",TRUE,"break_endpoint",5350,53.5,33.709281078697
"kotl","Trees","Built Area",TRUE,"break_sustained",5437,54.37,34.2574506962384
"kotl","Trees","Built Area",TRUE,"flicker",5084,50.84,32.0332682250646
"kotl","Trees","Crops",TRUE,"break_endpoint",647,6.47,29.5703839122486
"kotl","Trees","Crops",TRUE,"break_sustained",545,5.45,24.908592321755
"kotl","Trees","Crops",TRUE,"flicker",996,9.96,45.5210237659963
"kotl","Trees","Flooded Vegetation",TRUE,"break_endpoint",215,2.15,15.2698863636364
"kotl","Trees","Flooded Vegetation",TRUE,"break_sustained",112,1.12,7.95454545454545
"kotl","Trees","Flooded Vegetation",TRUE,"flicker",1081,10.81,76.7755681818182
"kotl","Trees","Rangeland",TRUE,"break_endpoint",10617,106.17,24.9788255223038
"kotl","Trees","Rangeland",TRUE,"break_sustained",19657,196.57,46.2474120082816
"kotl","Trees","Rangeland",TRUE,"flicker",12230,122.3,28.7737624694146
"kotl","Trees","Snow/Ice",TRUE,"break_endpoint",9,0.09,45
"kotl","Trees","Snow/Ice",TRUE,"break_sustained",3,0.03,15
"kotl","Trees","Snow/Ice",TRUE,"flicker",8,0.08,40
"kotl","Trees","Trees",FALSE,"flicker",43877,438.77,5.13070871297873
"kotl","Trees","Trees",FALSE,"stable",811307,8113.07,94.8692912870213
"kotl","Trees","Water",TRUE,"break_endpoint",8042,80.42,53.9008042895442
"kotl","Trees","Water",TRUE,"break_sustained",1558,15.58,10.4423592493298
"kotl","Trees","Water",TRUE,"flicker",5320,53.2,35.656836461126
"kotl","Water","Bare Ground",TRUE,"break_endpoint",1328,13.28,55.5648535564854
"kotl","Water","Bare Ground",TRUE,"break_sustained",451,4.51,18.8702928870293
"kotl","Water","Bare Ground",TRUE,"flicker",611,6.11,25.5648535564854
"kotl","Water","Built Area",TRUE,"break_endpoint",1206,12.06,37.1648690292758
"kotl","Water","Built Area",TRUE,"break_sustained",788,7.88,24.2835130970724
"kotl","Water","Built Area",TRUE,"flicker",1251,12.51,38.5516178736518
"kotl","Water","Crops",TRUE,"break_endpoint",1592,15.92,45.6029790890862
"kotl","Water","Crops",TRUE,"break_sustained",237,2.37,6.7888857061014
"kotl","Water","Crops",TRUE,"flicker",1662,16.62,47.6081352048124
"kotl","Water","Flooded Vegetation",TRUE,"break_endpoint",2192,21.92,19.8550724637681
"kotl","Water","Flooded Vegetation",TRUE,"break_sustained",5779,57.79,52.3460144927536
"kotl","Water","Flooded Vegetation",TRUE,"flicker",3069,30.69,27.7989130434783
"kotl","Water","Rangeland",TRUE,"break_endpoint",2604,26.04,34.2001576044129
"kotl","Water","Rangeland",TRUE,"break_sustained",675,6.75,8.86524822695035
"kotl","Water","Rangeland",TRUE,"flicker",4335,43.35,56.9345941686367
"kotl","Water","Snow/Ice",TRUE,"break_endpoint",1,0.01,33.3333333333333
"kotl","Water","Snow/Ice",TRUE,"flicker",2,0.02,66.6666666666667
"kotl","Water","Trees",TRUE,"break_endpoint",6704,67.04,56.35507733692
"kotl","Water","Trees",TRUE,"break_sustained",2422,24.22,20.359784801614
"kotl","Water","Trees",TRUE,"flicker",2770,27.7,23.285137861466
"kotl","Water","Water",FALSE,"flicker",23678,236.78,0.506839920097472
"kotl","Water","Water",FALSE,"stable",4648014,46480.14,99.4931600799025
